Name,0.2,0.25,0.3,0.35,0.4,0.45,0.5,MinSolv_1,MinSolv_2,Hbonds,ExpperMGS
N-Hexyl-gluconamide,0.007328121,0.019964403,0.088287459,0.147785026,0.193763236,0.232122813,0.275639992,0.014360333,0.215487604,0.029083153,5.9
N-Heptyl-gluconamide,0.005868085,0.017815038,0.082614338,0.139994615,0.180281914,0.216534223,0.258407053,0.011496368,0.204137797,0.026544906,18.5
N-Nonyl-gluconamide,0.006083257,0.019049175,0.086950924,0.147286146,0.189808051,0.226489073,0.267306878,0.012688545,0.213829764,0.025534377,8.6
4-Methoxyphenyl β-D-xylopyranoside,0.005707175,0.015143519,0.079544998,0.143816678,0.195848834,0.242479284,0.291469821,0.010403442,0.235277782,0.02844605,47.1
Glucitol,0.011239528,0.029860345,0.094677238,0.149572549,0.206516216,0.26383531,0.321144012,0.024961634,0.209410423,0.045511804,82.3
Galactitol,0.012469517,0.02977379,0.090652789,0.150209524,0.207651634,0.264428036,0.320843341,0.023118384,0.194152889,0.046477766,87.9
"N-[5-hydroxy-6-(hydroxymethyl)-2-(4-methoxyphenoxy)-4-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]acetamide",0.006294646,0.015123764,0.070466182,0.11706819,0.155873307,0.191532863,0.226015253,0.011154475,0.189795602,0.028582564,50.6
"2-[3,5-dihydroxy-2-(hydroxymethyl)-6-(4-methoxyphenoxy)oxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",0.007926861,0.017948564,0.071821729,0.119290995,0.163847667,0.199819342,0.237265054,0.013040111,0.197959646,0.032563341,77.8
"2-[3,5-dihydroxy-2-(hydroxymethyl)-6-(4-methoxyphenoxy)oxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",0.007273643,0.019036572,0.075635352,0.127171307,0.168345693,0.207042442,0.245768202,0.013438418,0.201030234,0.033071354,64.7
"2-[[3,5-dihydroxy-6-(4-methoxyphenoxy)-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",0.008847324,0.018290605,0.071951575,0.121511474,0.164413777,0.201178978,0.237892433,0.014445231,0.19524444,0.033663462,59.1
N-4-(Trifluoromethyl)phenyl-D-gluconamide,0.007945308,0.019086711,0.070357677,0.133139864,0.180496003,0.223431209,0.265455947,0.014550048,0.220710164,0.030367356,27.5
N-4-Methylphenyl-D-gluconamide,0.007574497,0.020768679,0.079349813,0.140625467,0.188240088,0.231622916,0.277430257,0.015923277,0.216241362,0.031113091,5.8
N-3-(Trifluoromethyl)benzyl-D-gluconamide,0.007140491,0.019190789,0.074304082,0.133389155,0.181150896,0.221730316,0.264090537,0.014106209,0.212077905,0.028601373,79.9
N-4-(Trifluoromethyl)benzyl-D-gluconamide,0.006379088,0.017725441,0.075218757,0.135178396,0.182312444,0.220791422,0.259174397,0.012098921,0.215199185,0.025846958,19.8
N-2-Hydroxyphenyl-D-gluconamide,0.008550034,0.021791799,0.07477604,0.136000372,0.186549546,0.230303179,0.274132739,0.016378538,0.22417529,0.032636642,29.7
N-3-(Trifluoromethyl)phenyl-D-gluconamide,0.006682462,0.019111318,0.075102937,0.133594502,0.180941786,0.221502543,0.263244333,0.014447638,0.215377668,0.02771149,86.4
N-4-(Trifluoromethoxy)phenyl-D-gluconamide,0.00639576,0.017218865,0.068395148,0.130724279,0.180110605,0.219965939,0.261825334,0.013002107,0.213640339,0.026710105,14.2
"N-2,5-(Dichloro)phenyl-D-gluconamide",0.008895254,0.026318267,0.082111115,0.141634714,0.189269825,0.232647067,0.28039443,0.01551614,0.217423445,0.02543523,45.5
N-2-Methylbenzyl-D-gluconamide,0.007001536,0.019280636,0.076840798,0.133794724,0.178363294,0.217801936,0.256414924,0.014152392,0.207939357,0.028737222,44.3
N-4-(Trifluoromethoxy)benzyl-D-gluconamide,0.005560417,0.01680062,0.076017716,0.131222917,0.174496093,0.209320227,0.247626655,0.011418691,0.201111228,0.026201783,23.2
N-2-(Trifluoromethoxy)benzyl-D-gluconamide,0.006371257,0.016398314,0.065855492,0.122320182,0.165910985,0.203251196,0.240167368,0.012579662,0.197706926,0.026784374,61
N-4-Chlorophenyl-D-gluconamide,0.00895563,0.026245167,0.080131914,0.139653511,0.187798096,0.233190157,0.280635953,0.018794391,0.221651505,0.03060825,34.5
N-4-Chlorobenzyl-D-gluconamide,0.007975623,0.024058269,0.075887488,0.124211959,0.165806075,0.20266792,0.245241838,0.016415265,0.190181841,0.028638328,6.8
N-2-Methylphenyl-D-gluconamide,0.007813992,0.019634727,0.075784027,0.133504682,0.182104882,0.223222758,0.26574335,0.014744123,0.212790893,0.030377337,90
"N-2,6-Dimethylphenyl-D-gluconamide",0.006751722,0.019165554,0.075456403,0.133280903,0.178293351,0.218946699,0.258470108,0.013501305,0.207931722,0.028009188,32.1
"N-2,5-Dimethylphenyl-D-gluconamide",0.006938157,0.019115513,0.076540098,0.135633494,0.181379027,0.22175484,0.262558351,0.013838862,0.211707964,0.02695538,84.2
D-Galactose,0.013902071,0.029693526,0.092059233,0.150355325,0.20514722,0.260252403,0.318168653,0.026131282,0.159353543,0.047084085,63.8
D-Glucose,0.013013448,0.028363294,0.090490486,0.150427169,0.206966073,0.260723101,0.317792817,0.024478419,0.158783338,0.045724884,76.4
D-Mannose,0.015491103,0.032276175,0.089148481,0.145425142,0.205013727,0.265123655,0.325154373,0.027755587,0.148589366,0.052612741,83.9
D-Talose,0.013690544,0.031438874,0.093798625,0.149074356,0.202710589,0.261254081,0.324125861,0.026788985,0.151529524,0.049129152,87
D-Melibiose,0.009741378,0.023363222,0.078944769,0.125791392,0.169027131,0.21066064,0.25306647,0.017782494,0.196308182,0.038313134,64.1
D-Lactose,0.011413844,0.023903335,0.073534192,0.117014791,0.159007089,0.198384884,0.240409062,0.019670174,0.192902292,0.040795219,72.2
D-Trehalose,0.01101279,0.02486264,0.078713633,0.125672455,0.16819733,0.211448859,0.255016294,0.019668797,0.205283758,0.04006578,79.1
D-Maltose,0.013184632,0.025672461,0.07883402,0.123375868,0.166738337,0.210376665,0.254469043,0.021349697,0.204284875,0.043050977,84.4
D-Sucrose,0.010311943,0.022972764,0.076127787,0.120393542,0.162883846,0.202271555,0.243284772,0.018025927,0.197185657,0.037882822,88
1-(α-D-Galactopyranosyl)-2-propene,0.008732538,0.021180524,0.08399969,0.142113309,0.19725392,0.245642841,0.293969451,0.015530558,0.234604588,0.03410204,64.2
1-(α-D-Glucopyranosyl)-2-propene,0.008281525,0.019448089,0.085203435,0.144295917,0.196882315,0.247847399,0.293559367,0.01362987,0.240401679,0.031082206,80.6
1-(α-D-mannopyranosyl)-2-propene,0.009714875,0.021519855,0.083670325,0.143677908,0.197845443,0.247370394,0.297343367,0.016820572,0.24020881,0.035309222,88.8
1-(α-D-Talopyranosyl)-2-propene,0.00962204,0.02206687,0.084427602,0.145782573,0.198454687,0.242757215,0.296270194,0.016000362,0.236798857,0.032105636,95.4
1-(β-D-Galactopyranosyl)-2-propene,0.01038857,0.02178245,0.081646086,0.14094064,0.194227937,0.241552741,0.290025984,0.016868417,0.234343198,0.036510355,76.9
1-(β-D-Glucopyranosyl)-2-propene,0.009412877,0.01977621,0.081829242,0.14143164,0.194395989,0.240965588,0.290101479,0.015588774,0.233743896,0.034429366,79.4
Allyl β-D-galactopyranosyl-(1→3)-2-acetamido-2-deoxy-β-D-galactopyranoside,0.006190668,0.017848933,0.074710615,0.120352202,0.158176965,0.193986389,0.230038804,0.011817813,0.185946741,0.029162188,66.2
Allyl β-D-galactopyranosyl-(1→4)-2-acetamido-2-deoxy-β-D-galactopyranoside,0.006927895,0.018993543,0.077767637,0.126049691,0.165195044,0.202162259,0.240200439,0.013510037,0.193413618,0.032422952,61.4
