Name,CO,C1CCOCC1,C1=CC=NC=C1,CS,C1CCOC1,C[NH3+],C,C1CC1,C#C,CC,[NH4+],CF,C1CCCC1,C[O-],C=C,[NH2+]=O,CBr,C=O,C1=CC=CC=C1,N,NN,[NH3+][O-],CN,CCl,ExpperMGS
N-4-Fluorobenzyl-D-gluconamide,5,0,0,0,0,0,5,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0,2,0,19.7
N-2-Phenylethyl-D-gluconamide,5,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,2,0,29.7
N-2-(2-Fluoro)phenylethyl-D-gluconamide,5,0,0,0,0,0,5,0,0,7,0,1,0,0,0,0,0,1,1,0,0,0,2,0,20.6
N-2-(3-Fluoro)phenylethyl-D-gluconamide,5,0,0,0,0,0,5,0,0,7,0,1,0,0,0,0,0,1,1,0,0,0,2,0,30.2
N-2-(4-Fluoro)phenylethyl-D-gluconamide,5,0,0,0,0,0,5,0,0,7,0,1,0,0,0,0,0,1,1,0,0,0,2,0,69
"N-2,5-Difluorobenzyl-D-gluconamide",5,0,0,0,0,0,5,0,0,6,0,2,0,0,0,0,0,1,1,0,0,0,2,0,9.7
N-4-Bromophenyl-D-gluconamide,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,2,0,75
N-2-Fluorophenyl-D-gluconamide,5,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0,2,0,3
"N-3,5-Difluorophenyl-D-gluconamide",5,0,0,0,0,0,5,0,0,5,0,2,0,0,0,0,0,1,1,0,0,0,2,0,4.4
N-3-Bromophenyl-D-gluconamide,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,2,0,40
"N-2,6-Difluorobenzyl-D-gluconamide",5,0,0,0,0,0,5,0,0,6,0,2,0,0,0,0,0,1,1,0,0,0,2,0,12.6
N-4-Methoxyphenyl-D-gluconamide,7,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,2,0,3.9
N-4-Methoxybenzyl-D-gluconamide,7,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,2,0,6.5
N-4-Methylbenzyl-D-gluconamide,5,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,2,0,5
N-2-Methoxybenzyl-D-gluconamide,7,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,2,0,72.8
N-2-Methoxyphenyl-D-gluconamide,7,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,2,0,100
2-Phenylhydrazide-D-gluconic acid,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,1,0,1,0,2,0,81.1
2-(2-Fluoro)phenylhydrazide-D-gluconic acid,5,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,1,1,0,1,0,2,0,68.7
N-1-Naphthyl-D-gluconamide,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,2,0,103.8
1-Deoxy-1-[(2-fluorophenylmethyl)amino]-D-glucitol,5,0,0,0,0,0,4,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,2,0,30.5
"1,4-Bis-(D-gluconamide)benzene",10,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,2,1,0,0,0,4,0,66.7
N-octyl-D-galactonamide ,5,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,2,0,72.2
N-Octanoyl-N-methyl-D-glucamine,5,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,3,0,66.3
N-Methyl-N-octyl-D-gluconamide,5,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,3,0,71.9
1-O-Octyl-D-glucitol,7,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.8
N-Octyl-L-Mannonamide,5,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,2,0,22
N-Octyl-D-gluconamide,5,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,2,0,72.4
N-Butyl-erythronamide,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,2,0,71.2
N-Pentyl-erythronamide,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,2,0,73.6
N-Hexyl-erythronamide,3,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,68.7
N-Octyl-erythronamide,3,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,2,0,56.3
N-Octyl-D-gluconamide,5,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,2,0,12.1
