Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
4-pentanamidophenyl β-d-glucopyranoside,2.8843,1460.41837,-1.71,-0.006,355.1631,1.44,0.22872,0.58824,5,8,0.63887,36.80495,18.11454,6.03433,0.9901,0.58824,-1.71,0.00088,4.76291,9.11662,5.13096,0.14037,0.94344,0,1,1,1,1,0,1,7,5,8,1,8,5,2,12,0,1,1,0.88043,1067.43777,0.13311,128.48
methyl 3-(β-d-galactopyranosyloxy)benzoate,2.96628,1162.5886,-1.71,-1.3481,314.10017,1.5,0.33748,0.5,4,8,0.32133,28.26599,13.87836,5.24537,0.9462,0.5,-1.71,0.00063,4.89083,7.03333,3.36829,0.32358,0.79994,0,1,1,0,1,0,1,8,4,8,1,8,4,2,9,0,1,1,0.80014,1264.4297,0.22062,125.68
4-methoxyphenyl ß-d-xylopyranoside,2.7744,930.38602,-1.34,-0.487,256.09469,1.38889,0.22838,0.5,3,6,0.55065,24.44949,12.06186,4.33712,0.98255,0.5,-1.34,0.00184,3.60604,5.53444,2.72906,0.18599,0.9749,0,1,1,0,1,0,1,6,3,6,1,6,3,2,7,0,1,1,0.91615,530.02773,0.26302,88.38
4-methoxyphenyl ß-d-mannopyranoside,2.91993,1039.05491,-1.38,-1.1261,286.10525,1.3,0.22872,0.53846,4,7,0.61955,27.35774,13.42423,4.79124,0.9885,0.53846,-1.38,0.00173,4.08464,6.38,3.02382,0.15122,0.97765,0,1,1,0,1,0,1,7,4,7,1,7,4,2,9,0,1,1,0.89228,566.28266,0.20855,108.61
4-methoxyphenyl α-d-mannopyranoside,2.91993,1039.05491,-1.38,-1.1261,286.10525,1.3,0.22872,0.53846,4,7,0.51376,27.35774,13.42423,4.79124,0.97868,0.53846,-1.38,0.00141,4.08464,6.38,3.02382,0.20538,0.96616,0,1,1,0,1,0,1,7,4,7,1,7,4,2,9,0,1,1,0.99539,683.52327,0.29871,108.61
4-(β-d-glucopyranosyloxy)-benzoic acid,2.95677,1044.60335,-1.71,-1.4365,300.08452,1.33333,0.33518,0.46154,5,8,0.58936,25.76599,12.58248,5.04124,0.98641,0.46154,-1.71,0.00133,4.89988,6.37331,3.31044,0.16433,0.94648,0,1,1,0,1,0,1,8,5,8,1,8,5,2,8,0,1,1,0.94747,712.28987,0.23794,136.68
4-(β-d-galactopyranosyloxy)-benzoic acid,2.95677,1044.60335,-1.71,-1.4365,300.08452,1.33333,0.33518,0.46154,5,8,0.54474,25.76599,12.58248,5.04124,0.98273,0.46154,-1.71,0.00112,4.89988,6.37331,3.31044,0.18507,0.88285,0,1,1,0,1,0,1,8,5,8,1,8,5,2,8,0,1,1,0.72663,787.62459,0.14846,136.68
benzyl β-d-glucopyranoside,2.93503,1026.42566,-1.02,-0.9969,270.11034,1.26316,0.21085,0.53846,4,6,0.33391,26.94949,13.26599,4.63299,0.94926,0.53846,-1.02,0.00109,3.7908,6.42411,3.3,0.31448,0.87912,0,1,1,0,1,0,1,6,4,6,1,6,4,2,8,0,1,1,0.99193,809.05292,0.32251,99.38
n-phenyl ß-d-glucopyranoside,3.04838,969.67922,-1.18,-1.1016,255.11067,1.33333,0.21082,0.5,5,6,0.27569,25.48846,12.50217,4.42196,0.93319,0.5,-1.18,0.001,3.47201,5.64026,2.62777,0.35939,0.832,0,1,1,0,1,0,1,6,5,6,1,6,5,2,7,0,1,1,1.05263,827.99753,0.40277,102.18
s-phenyl-1-thio-β-d-glucopyranoside,2.95217,937.79593,-0.63,-0.4214,272.07184,1.27778,0.21076,0.5,4,5,0.30968,24.44949,12.01599,5.19949,0.94288,0.5,-0.63,0.0011,3.94038,6.00835,2.8502,0.33313,0.88136,0,1,1,0,1,0,1,6,4,6,1,5,4,2,7,0,1,1,0.86708,804.29618,0.29037,90.15
